id,name,description,user_id,created_at,updated_at,movie_id
QyHgmVBMu2K9BJRArDrtWJ7iuy7CkfVk-1022787,Elio,,QyHgmVBMu2K9BJRArDrtWJ7iuy7CkfVk,2025-08-21 18:07:45.394,2025-08-21 18:07:45.394,1022787
QyHgmVBMu2K9BJRArDrtWJ7iuy7CkfVk-1078605,Weapons,,QyHgmVBMu2K9BJRArDrtWJ7iuy7CkfVk,2025-08-18 18:10:55.126,2025-08-18 18:10:55.126,1078605
QyHgmVBMu2K9BJRArDrtWJ7iuy7CkfVk-575265,Mission: Impossible - The Final Reckoning,,QyHgmVBMu2K9BJRArDrtWJ7iuy7CkfVk,2025-08-22 15:07:33.219,2025-08-22 15:07:33.219,575265
QyHgmVBMu2K9BJRArDrtWJ7iuy7CkfVk-911430,F1,,QyHgmVBMu2K9BJRArDrtWJ7iuy7CkfVk,2025-08-23 03:45:47.938,2025-08-23 03:45:47.938,911430
